#;PSRJ;Gl;P0;P1;DM;S1400;DIST_DM;NGLT;AGE;BSURF_I;
;;(deg);(s);;(cm^-3pc);(mJy);(kpc);;(Yr);(G);
66;J1406-6121;311.841;0.213075;5.47e-14;537.29;0.44;*;1;6.17e+04;*;
67;J1410-6132;312.195;0.050052;3.20e-14;961.00;1.90;*;1;2.48e+04;*;
68;J1412-6145;312.324;0.315258;9.90e-14;512.48;0.69;*;1;5.04e+04;*;
69;J1413-6141;312.462;0.285625;3.33e-13;667.60;0.82;*;14;1.36e+04;*;
70;J1413-6205;312.373;0.109741;2.77e-14;*;*;*;1;6.28e+04;*;
71;J1420-6048;313.541;0.068180;8.32e-14;360.15;1.19;*;8;1.30e+04;*;
72;J1422-6138;313.521;0.340968;9.68e-14;*;0.00;*;2;5.58e+04;*;
73;J1452-6036;317.296;0.154992;1.45e-15;349.52;1.90;*;3;1.69e+06;*;
74;J1453-6413;315.733;0.179487;2.74e-15;71.19;18.00;*;4;1.04e+06;7.10e+11;
75;J1509+5531;91.325;0.739682;5.00e-15;19.62;8.00;*;1;2.34e+06;1.94e+12;
76;J1522-5735;322.052;0.102136;3.12e-14;*;0.00;*;1;5.18e+04;*;
77;J1524-5625;323.000;0.078244;3.90e-14;152.05;1.28;*;1;3.18e+04;*;
78;J1531-5610;323.897;0.084211;1.38e-14;110.71;0.87;*;1;9.70e+04;*;
79;J1532+2745;43.481;1.124836;7.80e-16;14.69;0.80;*;1;2.29e+07;9.47e+11;
80;J1539-5626;324.621;0.243395;4.85e-15;175.97;5.00;*;1;7.95e+05;*;
81;J1602-5100;330.688;0.864297;6.94e-14;170.81;8.23;*;1;1.97e+05;*;
82;J1614-5048;332.206;0.231694;4.95e-13;582.40;4.10;*;4;7.42e+03;*;
83;J1617-5055;332.499;0.069357;1.35e-13;467.00;0.27;*;6;8.13e+03;*;
84;J1636-2614;353.120;0.510454;4.06e-15;92.72;0.19;*;2;1.99e+06;*;
85;J1644-4559;339.193;0.455078;2.01e-14;478.66;300.00;*;4;3.59e+05;*;
86;J1645-0317;14.114;0.387692;1.78e-15;35.76;25.76;*;7;3.45e+06;8.40e+11;
87;J1646-4346;341.105;0.231603;1.13e-13;490.40;1.25;*;2;3.25e+04;*;
88;J1650-4502;340.559;0.380870;1.61e-14;320.20;0.61;*;1;3.76e+05;*;
89;J1702-4128;344.744;0.182136;5.23e-14;365.75;1.17;*;1;5.51e+04;*;
90;J1702-4310;343.352;0.240524;2.24e-13;377.60;0.92;*;2;1.70e+04;*;
91;J1703-4851;338.986;1.396405;5.07e-15;149.65;1.40;*;1;4.36e+06;*;
92;J1705-1906;3.189;0.298991;4.14e-15;22.91;5.66;*;4;1.14e+06;*;
93;J1705-3423;350.721;0.255427;1.08e-15;146.15;5.30;*;3;3.76e+06;*;
94;J1705-3950;346.341;0.318979;6.08e-14;207.25;1.60;*;1;8.32e+04;*;
95;J1706-4434;342.672;0.429922;2.58e-15;467.00;0.19;*;1;2.64e+06;*;
96;J1708-4008;346.481;11.006262;1.96e-11;*;*;*;3;8.90e+03;*;
97;J1709-4429;343.098;0.102533;9.31e-14;75.58;12.10;*;7;1.75e+04;3.13e+12;
98;J1718-3718;349.849;3.378574;1.61e-12;371.10;0.40;*;1;3.32e+04;*;
99;J1718-3825;348.951;0.074675;1.32e-14;247.46;1.70;*;3;8.98e+04;*;
100;J1720-1633;7.374;1.565606;5.80e-15;45.06;1.10;*;1;4.28e+06;*;
101;J1721-3532;351.687;0.280424;2.52e-14;496.82;16.80;*;1;1.76e+05;*;
102;J1722-3632;350.934;0.399187;4.47e-15;415.79;2.90;*;1;1.42e+06;*;
103;J1730-3350;354.133;0.139506;8.41e-14;261.29;4.30;*;5;2.63e+04;*;
104;J1731-4744;342.565;0.829946;1.64e-13;123.06;27.00;*;9;8.04e+04;1.18e+13;
105;J1734-3333;354.819;1.169341;2.28e-12;578.00;0.71;*;1;8.13e+03;*;
106;J1737-3102;357.298;0.768672;3.73e-14;280.00;0.60;*;1;3.26e+05;*;
107;J1737-3137;356.744;0.450432;1.39e-13;488.10;0.88;*;6;5.14e+04;*;
108;J1739-2903;359.206;0.322889;7.88e-15;138.67;4.50;*;1;6.50e+05;*;
109;J1740+1000;34.011;0.154101;2.13e-14;23.80;2.70;*;2;1.14e+05;*;
110;J1740-3015;358.294;0.606887;4.66e-13;151.90;8.90;*;39;2.06e+04;*;
111;J1742-3321;355.851;0.143307;1.27e-15;*;*;*;1;1.79e+06;*;
112;J1743-3150;357.298;2.414652;1.21e-13;192.19;2.10;*;1;3.17e+05;*;
113;J1746-2856;0.126;0.945224;1.25e-14;1168.00;*;*;1;1.20e+06;*;
114;J1751-3323;356.829;0.548231;8.87e-15;295.54;1.67;*;3;9.79e+05;*;
115;J1757-2421;5.281;0.234109;1.30e-14;179.58;7.20;*;1;2.86e+05;*;
116;J1801-0357;23.595;0.921493;3.30e-15;120.33;0.70;*;1;4.42e+06;*;
117;J1801-2304;6.837;0.415827;1.13e-13;1067.85;7.00;*;14;5.83e+04;*;
118;J1801-2451;5.254;0.124924;1.28e-13;291.55;1.46;*;9;1.55e+04;*;
119;J1803-2137;8.395;0.133667;1.34e-13;234.04;9.60;*;8;1.58e+04;4.29e+12;
120;J1806-2125;8.811;0.481825;1.18e-13;747.00;0.80;*;1;6.47e+04;*;
121;J1809-1917;11.094;0.082764;2.55e-14;197.30;2.80;*;1;5.15e+04;*;
122;J1809-2004;10.363;0.434811;7.28e-15;867.10;0.90;*;2;9.46e+05;*;
123;J1812-1718;13.109;1.205374;1.91e-14;251.40;1.10;*;4;1.00e+06;*;
124;J1813-1246;17.244;0.048072;1.76e-14;*;*;*;1;4.34e+04;*;
125;J1814-1744;13.021;3.975905;7.45e-13;820.00;0.70;*;6;8.46e+04;*;
126;J1818-1422;16.405;0.291489;2.04e-15;619.65;9.60;*;1;2.27e+06;*;
127;J1819-1458;16.019;4.263213;5.63e-13;196.00;*;*;3;1.20e+05;*;
128;J1822-1604;15.353;8.437721;2.14e-14;*;*;*;1;6.26e+06;*;
129;J1824-1118;19.809;0.435759;3.55e-15;601.31;1.30;*;1;1.94e+06;*;
130;J1824-2452A;7.797;0.003054;1.62e-18;119.90;2.30;*;1;2.99e+07;2.25e+09;
131;J1825-0935;21.449;0.769021;5.24e-14;19.38;10.00;*;14;2.33e+05;6.42e+12;
132;J1826-1334;18.001;0.101487;7.53e-14;231.73;4.70;*;8;2.14e+04;*;
133;J1827-0958;21.286;0.245757;1.00e-15;430.00;2.20;*;1;3.88e+06;*;
134;J1830-1059;20.812;0.405094;5.99e-14;159.70;1.50;*;1;1.07e+05;*;
135;J1830-1135;20.193;6.221553;4.77e-14;257.00;1.10;*;1;2.06e+06;*;
136;J1833-0827;23.385;0.085291;9.18e-15;409.75;6.90;*;4;1.47e+05;8.95e+11;
137;J1833-1034;21.501;0.061884;2.02e-13;169.50;0.07;*;4;4.85e+03;*;
138;J1834-0731;24.288;0.512995;5.82e-14;288.30;1.30;*;1;1.40e+05;*;
139;J1835-1020;21.980;0.302452;5.92e-15;115.66;1.90;*;1;8.09e+05;*;
140;J1835-1106;21.222;0.165918;2.06e-14;132.68;2.50;*;1;1.28e+05;*;
141;J1836-1008;22.263;0.562721;1.18e-14;315.94;4.80;*;1;7.56e+05;*;
142;J1837-0559;26.001;0.201065;3.31e-15;317.98;0.58;*;3;9.62e+05;*;
143;J1837-0604;25.960;0.096313;4.49e-14;460.00;0.75;*;3;3.40e+04;*;
144;J1838-0453;27.070;0.380866;1.16e-13;617.20;0.40;*;2;5.19e+04;*;
145;J1839-0223;29.500;1.266790;4.76e-15;330.00;0.11;*;1;4.21e+06;*;
146;J1841-0157;30.100;0.663332;1.81e-14;475.21;0.81;*;1;5.81e+05;*;
147;J1841-0345;28.423;0.204106;5.79e-14;196.64;2.07;*;1;5.59e+04;*;
148;J1841-0425;27.818;0.186149;6.39e-15;325.49;3.30;*;2;4.61e+05;*;
149;J1841-0456;27.387;11.788978;4.09e-11;*;*;*;4;4.57e+03;*;
150;J1841-0524;27.024;0.445810;2.33e-13;284.50;0.20;*;5;3.03e+04;*;
151;J1842+0257;34.558;3.088256;2.96e-14;146.00;0.26;*;1;1.65e+06;*;
152;J1844+00;32.624;0.460503;*;346.60;8.60;*;2;*;*;
153;J1844-0346;28.787;0.112855;1.55e-13;*;*;*;1;1.16e+04;*;
154;J1844-0433;28.096;0.991030;3.91e-15;123.16;1.10;*;1;4.01e+06;*;
155;J1844-0538;27.073;0.255704;9.71e-15;411.71;3.20;*;1;4.17e+05;*;
156;J1845-0316;29.390;0.207636;8.86e-15;500.00;0.35;*;2;3.71e+05;*;
157;J1845-0743;25.428;0.104695;3.67e-16;281.02;3.00;*;1;4.52e+06;*;
158;J1846-0258;29.712;0.326571;7.11e-12;*;*;*;2;7.28e+02;*;
159;J1847-0130;31.147;6.707046;1.27e-12;667.00;0.33;*;2;8.33e+04;*;
160;J1847-0402;28.876;0.597809;5.17e-14;141.98;4.90;*;2;1.83e+05;*;
161;J1849-0317;29.834;0.668422;2.21e-14;39.62;0.70;*;1;4.80e+05;*;
162;J1850-0026;32.407;0.166634;3.91e-14;947.00;1.77;*;4;6.75e+04;*;
163;J1851-0029;32.542;0.518724;4.71e-15;521.11;0.44;*;1;1.75e+06;*;
164;J1852-0635;27.224;0.524159;1.46e-14;173.60;9.50;*;1;5.68e+05;*;
165;J1853+0056;34.017;0.275578;2.14e-14;180.90;0.21;*;1;2.04e+05;*;
166;J1853+0545;38.354;0.126400;6.12e-16;197.91;2.70;*;1;3.27e+06;*;
167;J1856+0113;34.560;0.267440;2.08e-13;96.10;0.19;*;2;2.03e+04;*;
168;J1856+0245;36.008;0.080907;6.21e-14;623.50;0.58;*;1;2.06e+04;*;
169;J1901+0156;35.818;0.288221;2.36e-15;105.39;0.38;*;2;1.94e+06;*;
170;J1901+0716;40.569;0.644001;2.29e-15;252.61;0.90;*;1;4.46e+06;*;
171;J1902+0615;39.814;0.673507;7.71e-15;502.93;1.60;*;6;1.38e+06;2.31e+12;
172;J1906+0722;41.216;0.111524;3.59e-14;*;*;*;1;4.92e+04;*;
173;J1907+0631;40.515;0.323648;4.52e-13;429.40;0.25;*;2;1.13e+04;*;
174;J1909+0007;35.123;1.016953;5.52e-15;112.76;0.87;*;3;2.92e+06;*;
175;J1909+0749;41.909;0.237161;1.52e-13;539.36;0.23;*;1;2.47e+04;*;
176;J1909+0912;43.164;0.222972;3.59e-14;423.05;0.40;*;2;9.83e+04;*;
177;J1909+1102;44.832;0.283643;2.64e-15;149.82;3.20;*;2;1.70e+06;8.76e+11;
178;J1910+0358;38.606;2.330266;4.47e-15;83.87;1.50;*;1;8.26e+06;*;
179;J1910+1026;44.426;0.531493;2.57e-13;712.80;0.06;*;1;3.28e+04;*;
180;J1910-0309;32.280;0.504606;2.19e-15;205.40;0.55;*;3;3.65e+06;*;
181;J1913+0446;39.736;1.616130;2.79e-13;109.10;0.48;*;3;9.18e+04;*;
182;J1913+0832;42.980;0.134412;4.57e-15;355.90;0.90;*;1;4.66e+05;*;
183;J1913+0904;43.502;0.163251;1.76e-14;96.84;0.40;*;1;1.47e+05;*;
184;J1913+1000;44.285;0.837158;1.67e-14;422.99;0.53;*;1;7.93e+05;*;
185;J1913+1011;44.485;0.035911;3.38e-15;178.49;0.90;*;1;1.68e+05;*;
186;J1915+1009;44.707;0.404554;1.53e-14;241.58;2.00;*;1;4.20e+05;2.51e+12;
187;J1915+1150;46.170;0.100041;1.37e-14;699.83;0.05;*;1;1.16e+05;*;
188;J1915+1606;49.968;0.059030;8.62e-18;168.77;0.90;*;1;1.09e+08;2.28e+10;
189;J1919+0021;36.506;1.272267;7.68e-15;90.20;0.80;*;1;2.63e+06;3.16e+12;
190;J1921+0812;43.710;0.210650;5.37e-15;82.82;0.66;*;1;6.21e+05;*;
191;J1923+4243;74.715;0.595193;2.53e-15;52.99;*;*;1;3.72e+06;*;
192;J1926+0431;40.980;1.074080;2.46e-15;102.24;*;*;1;6.91e+06;*;
193;J1931+1817;53.739;0.234131;1.07e-13;465.00;0.15;*;4;3.46e+04;*;
194;J1932+2220;57.356;0.144470;5.76e-14;218.90;1.20;*;3;3.98e+04;*;
195;J1937+2544;60.836;0.200980;6.43e-16;53.22;1.40;*;1;4.95e+06;3.64e+11;
196;J1939+2609;61.501;0.466963;5.20e-18;47.30;0.15;*;1;1.42e+09;*;
