PSRJ;RAJ;Gl;Gb;DECJD;P0;P1;F0;F1;F2;F3;PEPOCH;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST_DM;NGLT;AGE;BSURF;AGE_I;BSURF_I;B_LC;
;;(hms);(deg);(deg);(deg);(s);;(Hz);(s^-2);(s^-3);(s^-4);(MJD);(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);;(Yr);(G);(Yr);(G);(G);
106;J1737-3102;17:37:33.7;357.298;0.373;-31.03347222;0.768672;3.73e-14;1.300945;-6.319e-14;*;*;51112.00;280.00;14.000;31.000;*;*;0.60;*;*;1;3.26e+05;5.42e+12;*;*;1.12e+02;
107;J1737-3137;17:37:04.2;356.744;0.145;-31.62250000;0.450432;1.39e-13;2.220089;-6.839e-13;7.200e-24;*;51234.00;488.10;16.300;*;*;*;0.88;*;*;6;5.14e+04;8.00e+12;*;*;8.21e+02;
108;J1739-2903;17:39:34.2;359.206;1.064;-29.05061111;0.322889;7.88e-15;3.097038;-7.554e-14;6.300e-26;*;59400.00;138.67;6.000;10.000;*;*;4.50;*;*;1;6.50e+05;1.61e+12;*;*;4.49e+02;
109;J1740+1000;17:40:25.9;34.011;20.268;10.00175000;0.154101;2.13e-14;6.489247;-8.983e-13;3.128e-23;*;59400.00;23.80;6.900;19.000;0.00;3.10;2.70;1.30;*;2;1.14e+05;1.83e+12;*;*;4.70e+03;
110;J1740-3015;17:40:33.8;358.294;0.238;-30.26208333;0.606887;4.66e-13;1.647754;-1.265e-12;*;*;54780.00;151.90;3.000;10.000;0.00;24.60;8.90;*;*;39;2.06e+04;1.70e+13;*;*;7.14e+02;
111;J1742-3321;17:42:11.5;355.851;-1.691;-33.35583333;0.143307;1.27e-15;6.978040;-6.182e-14;*;*;56265.00;*;*;*;*;*;*;*;*;1;1.79e+06;4.32e+11;*;*;1.37e+03;
112;J1743-3150;17:43:36.7;357.298;-1.149;-31.83963889;2.414652;1.21e-13;0.414138;-2.072e-14;0.000e+00;*;57600.00;192.19;45.000;66.000;0.00;6.60;2.10;*;*;1;3.17e+05;1.73e+13;*;*;1.15e+01;
113;J1746-2856;17:46:49.8;0.126;-0.233;-28.94971944;0.945224;1.25e-14;1.057950;-1.399e-14;*;*;53704.51;1168.00;288.000;*;*;*;*;*;*;1;1.20e+06;3.48e+12;*;*;3.86e+01;
114;J1751-3323;17:51:32.7;356.829;-3.382;-33.39433333;0.548231;8.87e-15;1.824049;-2.951e-14;*;*;59400.00;295.54;7.500;34.000;0.09;*;1.67;*;*;3;9.79e+05;2.23e+12;*;*;1.27e+02;
115;J1757-2421;17:57:29.3;5.281;0.054;-24.36873464;0.234109;1.30e-14;4.271508;-2.364e-13;3.400e-23;*;59400.00;179.58;10.000;19.000;0.00;20.00;7.20;*;*;1;2.86e+05;1.76e+12;*;*;1.29e+03;
116;J1801-0357;18:01:22.6;23.595;9.257;-3.96538470;0.921493;3.30e-15;1.085195;-3.891e-15;0.000e+00;*;59400.00;120.33;9.000;33.000;0.00;17.00;0.70;*;*;1;4.42e+06;1.77e+12;*;*;2.12e+01;
117;J1801-2304;18:01:19.8;6.837;-0.066;-23.07906583;0.415827;1.13e-13;2.404846;-6.531e-13;1.120e-24;*;54000.00;1067.85;128.300;265.000;0.55;*;7.00;*;*;14;5.83e+04;6.93e+12;*;*;9.04e+02;
118;J1801-2451;18:01:00.0;5.254;-0.882;-24.85763889;0.124924;1.28e-13;8.004854;-8.196e-12;4.010e-22;*;52503.00;291.55;4.800;12.000;*;7.80;1.46;*;*;9;1.55e+04;4.04e+12;*;*;1.95e+04;
119;J1803-2137;18:03:51.4;8.395;0.146;-21.61870861;0.133667;1.34e-13;7.481283;-7.520e-12;2.079e-22;*;53900.00;234.04;13.000;44.000;0.01;23.00;9.60;9.30;*;8;1.58e+04;4.29e+12;1.58e+04;4.29e+12;1.68e+04;
120;J1806-2125;18:06:19.8;8.811;-0.280;-21.46543889;0.481825;1.18e-13;2.075444;-5.082e-13;1.100e-23;*;55349.00;747.00;34.000;55.000;*;*;0.80;*;*;1;6.47e+04;7.63e+12;*;*;6.39e+02;
121;J1809-1917;18:09:43.1;11.094;0.080;-19.29391667;0.082764;2.55e-14;12.082525;-3.720e-12;2.700e-23;*;59400.00;197.30;17.000;26.000;0.01;*;2.80;*;*;1;5.15e+04;1.47e+12;*;*;2.43e+04;
122;J1809-2004;18:09:15.8;10.363;-0.202;-20.07000000;0.434811;7.28e-15;2.299848;-3.850e-14;*;*;51719.00;867.10;46.300;*;*;*;0.90;*;*;2;9.46e+05;1.80e+12;*;*;2.05e+02;
123;J1812-1718;18:12:07.2;13.109;0.538;-17.30818717;1.205374;1.91e-14;0.829618;-1.313e-14;5.800e-26;*;54600.00;251.40;20.000;60.000;0.03;*;1.10;*;*;4;1.00e+06;4.85e+12;*;*;2.60e+01;
124;J1813-1246;18:13:23.7;17.244;2.445;-12.76644444;0.048072;1.76e-14;20.802023;-7.600e-12;*;*;54954.00;*;*;*;*;*;*;*;*;1;4.34e+04;9.30e+11;*;*;7.85e+04;
125;J1814-1744;18:14:43.1;13.021;-0.215;-17.74666667;3.975905;7.45e-13;0.251515;-4.711e-14;*;*;52353.00;820.00;92.000;*;*;*;0.70;*;*;6;8.46e+04;5.51e+13;*;*;8.21e+00;
126;J1818-1422;18:18:23.7;16.405;0.610;-14.37686389;0.291489;2.04e-15;3.430656;-2.396e-14;-4.460e-25;*;54100.00;619.65;17.100;53.000;0.06;*;9.60;*;*;1;2.27e+06;7.80e+11;*;*;2.95e+02;
127;J1819-1458;18:19:34.1;16.019;0.080;-14.96765833;4.263213;5.63e-13;0.234565;-3.096e-14;-1.240e-24;-2.400e-33;55996.24;196.00;154.000;*;*;*;*;*;*;3;1.20e+05;4.96e+13;*;*;6.00e+00;
128;J1822-1604;18:22:18.0;15.353;-1.021;-16.07411111;8.437721;2.14e-14;0.118515;-3.000e-16;*;*;55761.00;*;*;*;*;*;*;*;*;1;6.26e+06;1.36e+13;*;*;2.12e-01;
129;J1824-1118;18:24:29.5;19.809;0.741;-11.31183739;0.435759;3.55e-15;2.294846;-1.872e-14;4.000e-27;*;49480.00;601.31;15.000;51.000;0.03;*;1.30;*;*;1;1.94e+06;1.26e+12;*;*;1.43e+02;
130;J1824-2452A;18:24:32.0;7.797;-5.578;-24.86968846;0.003054;1.62e-18;327.405573;-1.735e-13;*;*;55683.00;119.90;0.972;1.600;0.00;40.00;2.30;*;*;1;2.99e+07;2.25e+09;3.00e+07;2.25e+09;7.40e+05;
131;J1825-0935;18:25:30.5;21.449;1.324;-9.58922222;0.769021;5.24e-14;1.300355;-8.853e-14;2.860e-24;*;57600.00;19.38;11.000;47.000;0.00;36.00;10.00;*;*;14;2.33e+05;6.42e+12;2.33e+05;6.42e+12;1.32e+02;
132;J1826-1334;18:26:13.1;18.001;-0.691;-13.57966667;0.101487;7.53e-14;9.853499;-7.306e-12;2.809e-22;*;54200.00;231.73;5.900;34.700;0.00;*;4.70;*;*;8;2.14e+04;2.80e+12;*;*;2.51e+04;
133;J1827-0958;18:27:05.4;21.286;0.798;-9.97867092;0.245757;1.00e-15;4.069058;-1.660e-14;-5.700e-26;*;49480.00;430.00;26.000;57.000;0.03;*;2.20;*;*;1;3.88e+06;5.02e+11;*;*;3.17e+02;
134;J1830-1059;18:30:47.4;20.812;-0.477;-10.99070000;0.405094;5.99e-14;2.468563;-3.652e-13;1.670e-24;*;59400.00;159.70;3.200;9.500;0.00;2.10;1.50;*;*;1;1.07e+05;4.99e+12;*;*;7.03e+02;
135;J1830-1135;18:30:01.7;20.193;-0.590;-11.59222222;6.221553;4.77e-14;0.160732;-1.234e-15;7.000e-26;*;51563.00;257.00;62.200;171.000;*;*;1.10;*;*;1;2.06e+06;1.74e+13;*;*;6.79e-01;
136;J1833-0827;18:33:40.2;23.385;0.063;-8.45890320;0.085291;9.18e-15;11.724522;-1.262e-12;-1.980e-24;*;59400.00;409.75;4.600;14.000;0.01;*;6.90;*;*;4;1.47e+05;8.95e+11;1.47e+05;8.95e+11;1.35e+04;
137;J1833-1034;18:33:33.5;21.501;-0.885;-10.56875000;0.061884;2.02e-13;16.159357;-5.275e-11;3.197e-22;*;54575.00;169.50;2.300;*;*;*;0.07;*;*;4;4.85e+03;3.58e+12;*;*;1.42e+05;
138;J1834-0731;18:34:15.9;24.288;0.366;-7.51831389;0.512995;5.82e-14;1.949336;-2.212e-13;*;*;55376.00;288.30;40.000;140.000;0.12;*;1.30;*;*;1;1.40e+05;5.53e+12;*;*;3.84e+02;
139;J1835-1020;18:35:57.6;21.980;-1.302;-10.33445939;0.302452;5.92e-15;3.306308;-6.473e-14;*;*;59400.00;115.66;5.300;11.000;0.00;*;1.90;*;*;1;8.09e+05;1.35e+12;*;*;4.59e+02;
140;J1835-1106;18:35:18.4;21.222;-1.513;-11.10447222;0.165918;2.06e-14;6.027087;-7.479e-13;*;*;55429.00;132.68;3.900;8.400;0.00;30.00;2.50;*;*;1;1.28e+05;1.87e+12;*;*;3.84e+03;
141;J1836-1008;18:36:53.9;22.263;-1.415;-10.13565277;0.562721;1.18e-14;1.777078;-3.726e-14;-1.950e-25;*;59400.00;315.94;7.700;17.000;0.00;54.00;4.80;*;*;1;7.56e+05;2.61e+12;*;*;1.37e+02;
142;J1837-0559;18:37:23.6;26.001;0.379;-5.99127778;0.201065;3.31e-15;4.973520;-8.194e-14;*;*;59400.00;317.98;9.000;*;*;*;0.58;*;*;3;9.62e+05;8.26e+11;*;*;9.53e+02;
143;J1837-0604;18:37:43.5;25.960;0.265;-6.08027778;0.096313;4.49e-14;10.382835;-4.837e-12;1.603e-22;*;56524.00;460.00;14.000;30.000;0.06;*;0.75;*;*;3;3.40e+04;2.10e+12;*;*;2.21e+04;
144;J1838-0453;18:38:11.4;27.070;0.708;-4.89036667;0.380866;1.16e-13;2.625598;-8.019e-13;*;*;55339.00;617.20;15.000;*;*;*;0.40;*;*;2;5.19e+04;6.74e+12;*;*;1.14e+03;
145;J1839-0223;18:39:58.0;29.500;1.461;-2.38597222;1.266790;4.76e-15;0.789397;-2.968e-15;*;*;56488.00;330.00;42.000;54.000;*;*;0.11;*;*;1;4.21e+06;2.49e+12;*;*;1.15e+01;
146;J1841-0157;18:41:56.1;30.100;1.217;-1.96451626;0.663332;1.81e-14;1.507540;-4.108e-14;*;*;59400.00;475.21;21.200;36.600;*;*;0.81;*;*;1;5.81e+05;3.50e+12;*;*;1.13e+02;
147;J1841-0345;18:41:38.6;28.423;0.437;-3.81206000;0.204106;5.79e-14;4.899413;-1.389e-12;*;*;59400.00;196.64;12.000;20.000;0.00;*;2.07;*;*;1;5.59e+04;3.48e+12;*;*;3.83e+03;
148;J1841-0425;18:41:05.6;27.818;0.279;-4.42208333;0.186149;6.39e-15;5.372045;-1.845e-13;-1.560e-24;*;53900.00;325.49;4.900;9.800;0.00;2.60;3.30;*;*;2;4.61e+05;1.10e+12;*;*;1.60e+03;
149;J1841-0456;18:41:19.3;27.387;-0.007;-4.93643333;11.788978;4.09e-11;0.084825;-2.944e-13;-3.900e-22;*;55585.00;*;*;*;*;*;*;*;*;4;4.57e+03;7.03e+14;*;*;4.02e+00;
150;J1841-0524;18:41:49.3;27.024;-0.333;-5.40819444;0.445810;2.33e-13;2.243110;-1.174e-12;1.165e-23;*;55372.00;284.50;16.000;*;*;*;0.20;*;*;5;3.03e+04;1.03e+13;*;*;1.09e+03;
151;J1842+0257;18:42:30.9;34.558;3.336;2.96633333;3.088256;2.96e-14;0.323807;-3.103e-15;*;*;53040.00;146.00;51.500;90.900;*;*;0.26;*;*;1;1.65e+06;9.67e+12;*;*;3.08e+00;
152;J1844+00;18:44:11;32.624;1.880;0.58333333;0.460503;*;2.171539;*;*;*;49717.00;346.60;5.900;35.300;*;*;8.60;*;*;2;*;*;*;*;*;
153;J1844-0346;18:44:32.8;28.787;-0.191;-3.77516667;0.112855;1.55e-13;8.860955;-1.215e-11;*;*;55716.00;*;*;*;*;*;*;*;*;1;1.16e+04;4.23e+12;*;*;2.76e+04;
154;J1844-0433;18:44:33.4;28.096;-0.548;-4.55344812;0.991030;3.91e-15;1.009051;-3.986e-15;-1.500e-27;*;59400.00;123.16;12.000;27.000;0.00;8.10;1.10;*;*;1;4.01e+06;1.99e+12;*;*;1.92e+01;
155;J1844-0538;18:44:05.1;27.073;-0.941;-5.64280556;0.255704;9.71e-15;3.910769;-1.484e-13;-1.330e-25;*;55410.00;411.71;8.500;23.000;0.01;*;3.20;*;*;1;4.17e+05;1.59e+12;*;*;8.94e+02;
156;J1845-0316;18:45:52.9;29.390;-0.255;-3.26805556;0.207636;8.86e-15;4.816127;-2.055e-13;*;*;51350.00;500.00;12.000;*;*;*;0.35;*;*;2;3.71e+05;1.37e+12;*;*;1.44e+03;
157;J1845-0743;18:45:57.1;25.428;-2.304;-7.72738056;0.104695;3.67e-16;9.551586;-3.345e-14;*;*;55336.00;281.02;2.000;9.300;*;2.50;3.00;*;*;1;4.52e+06;1.98e+11;*;*;1.62e+03;
158;J1846-0258;18:46:24.9;29.712;-0.240;-2.97502778;0.326571;7.11e-12;3.062119;-6.664e-11;2.725e-21;*;54834.00;*;*;*;*;*;*;*;*;2;7.28e+02;4.88e+13;*;*;1.31e+04;
159;J1847-0130;18:47:35.2;31.147;0.167;-1.51277778;6.707046;1.27e-12;0.149097;-2.834e-14;*;*;52353.00;667.00;192.000;278.000;*;*;0.33;*;*;2;8.33e+04;9.36e+13;*;*;2.91e+00;
160;J1847-0402;18:47:22.8;28.876;-0.939;-4.03733333;0.597809;5.17e-14;1.672776;-1.446e-13;7.970e-26;*;57600.00;141.98;20.000;29.000;0.00;75.00;4.90;*;*;2;1.83e+05;5.63e+12;*;*;2.47e+02;
161;J1849-0317;18:49:57.8;29.834;-1.173;-3.29237233;0.668422;2.21e-14;1.496060;-4.936e-14;*;*;59400.00;39.62;24.000;35.000;*;*;0.70;*;*;1;4.80e+05;3.89e+12;*;*;1.22e+02;
162;J1850-0026;18:50:14.7;32.407;0.066;-0.43655556;0.166634;3.91e-14;6.001179;-1.408e-12;*;*;54263.70;947.00;19.700;52.000;0.05;*;1.77;*;*;4;6.75e+04;2.58e+12;*;*;5.23e+03;
163;J1851-0029;18:51:55.0;32.542;-0.335;-0.49942029;0.518724;4.71e-15;1.927809;-1.750e-14;*;*;59400.00;521.11;13.700;28.500;*;*;0.44;*;*;1;1.75e+06;1.58e+12;*;*;1.06e+02;
164;J1852-0635;18:52:57.4;27.224;-3.341;-6.60012500;0.524159;1.46e-14;1.907818;-5.324e-14;*;*;59400.00;173.60;82.000;113.000;0.00;*;9.50;*;*;1;5.68e+05;2.80e+12;*;*;1.82e+02;
165;J1853+0056;18:53:32.6;34.017;-0.036;0.94972222;0.275578;2.14e-14;3.628742;-2.816e-13;*;*;51665.00;180.90;12.100;22.200;*;*;0.21;*;*;1;2.04e+05;2.46e+12;*;*;1.10e+03;
166;J1853+0545;18:53:58.4;38.354;2.064;5.76535000;0.126400;6.12e-16;7.911372;-3.834e-14;-1.900e-25;*;53882.00;197.91;10.600;26.500;0.02;*;2.70;*;*;1;3.27e+06;2.82e+11;*;*;1.31e+03;
167;J1856+0113;18:56:10.6;34.560;-0.497;1.22257591;0.267440;2.08e-13;3.739162;-2.913e-12;2.760e-23;*;49780.00;96.10;2.900;6.800;0.00;3.40;0.19;*;*;2;2.03e+04;7.55e+12;*;*;3.70e+03;
168;J1856+0245;18:56:50.9;36.008;0.057;2.76305556;0.080907;6.21e-14;12.359917;-9.489e-12;*;*;54930.00;623.50;18.300;*;*;*;0.58;*;*;1;2.06e+04;2.27e+12;*;*;4.02e+04;
169;J1901+0156;19:01:34.2;35.818;-1.367;1.94394890;0.288221;2.36e-15;3.469561;-2.838e-14;-1.600e-26;*;59400.00;105.39;4.100;8.900;0.00;13.70;0.38;*;*;2;1.94e+06;8.34e+11;*;*;3.27e+02;
170;J1901+0716;19:01:38.9;40.569;1.056;7.27633469;0.644001;2.29e-15;1.552794;-5.515e-15;3.560e-25;*;59400.00;252.61;14.300;39.500;0.00;3.90;0.90;*;*;1;4.46e+06;1.23e+12;*;*;4.31e+01;
171;J1902+0615;19:02:50.2;39.814;0.336;6.27594766;0.673507;7.71e-15;1.484766;-1.700e-14;0.000e+00;*;59400.00;502.93;3.900;11.400;0.00;22.00;1.60;*;*;6;1.38e+06;2.31e+12;1.38e+06;2.31e+12;7.08e+01;
172;J1906+0722;19:06:31.2;41.216;0.031;7.38216667;0.111524;3.59e-14;8.966669;-2.885e-12;3.180e-23;*;55716.00;*;*;*;*;*;*;*;*;1;4.92e+04;2.02e+12;*;*;1.37e+04;
173;J1907+0631;19:07:03.8;40.515;-0.484;6.52191667;0.323648;4.52e-13;3.089776;-4.317e-12;*;*;56985.00;429.40;22.000;38.560;*;*;0.25;*;*;2;1.13e+04;1.22e+13;*;*;3.39e+03;
174;J1909+0007;19:09:35.2;35.123;-3.977;0.13271408;1.016953;5.52e-15;0.983329;-5.336e-15;1.700e-28;*;59400.00;112.76;5.600;19.800;*;12.00;0.87;*;*;3;2.92e+06;2.40e+12;*;*;2.14e+01;
175;J1909+0749;19:09:08.2;41.909;-0.340;7.82555556;0.237161;1.52e-13;4.216540;-2.701e-12;*;*;54870.00;539.36;126.000;10.670;*;*;0.23;*;*;1;2.47e+04;6.07e+12;*;*;4.27e+03;
176;J1909+0912;19:09:19.8;43.164;0.258;9.21482558;0.222972;3.59e-14;4.484866;-7.226e-13;*;*;59400.00;423.05;12.600;*;0.01;*;0.40;*;*;2;9.83e+04;2.86e+12;*;*;2.42e+03;
177;J1909+1102;19:09:48.6;44.832;0.992;11.03417889;0.283643;2.64e-15;3.525564;-3.282e-14;1.000e-24;*;59400.00;149.82;5.500;12.500;0.00;50.00;3.20;*;*;2;1.70e+06;8.76e+11;1.70e+06;8.76e+11;3.60e+02;
178;J1910+0358;19:10:09.0;38.606;-2.339;3.97445134;2.330266;4.47e-15;0.429135;-8.234e-16;1.400e-26;*;59400.00;83.87;52.000;457.000;*;21.00;1.50;*;*;1;8.26e+06;3.27e+12;*;*;2.42e+00;
179;J1910+1026;19:10:48.7;44.426;0.503;10.44791667;0.531493;2.57e-13;1.881492;-9.100e-13;*;*;56334.00;712.80;12.000;*;*;*;0.06;*;*;1;3.28e+04;1.18e+13;*;*;7.39e+02;
180;J1910-0309;19:10:29.6;32.280;-5.681;-3.16502778;0.504606;2.19e-15;1.981743;-8.612e-15;-2.200e-25;*;59400.00;205.40;5.900;25.000;0.00;27.00;0.55;*;*;3;3.65e+06;1.06e+12;*;*;7.77e+01;
181;J1913+0446;19:13:50.8;39.736;-2.790;4.76833333;1.616130;2.79e-13;0.618762;-1.068e-13;*;*;51832.34;109.10;15.700;51.200;*;*;0.48;*;*;3;9.18e+04;2.15e+13;*;*;4.77e+01;
182;J1913+0832;19:13:00.5;42.980;-0.862;8.53475000;0.134412;4.57e-15;7.439810;-2.529e-13;-2.700e-24;*;59400.00;355.90;6.800;73.800;0.02;*;0.90;*;*;1;4.66e+05;7.93e+11;*;*;3.06e+03;
183;J1913+0904;19:13:21.0;43.502;-0.684;9.07927778;0.163251;1.76e-14;6.125554;-6.612e-13;4.755e-24;*;56367.33;96.84;1.200;7.300;*;*;0.40;*;*;1;1.47e+05;1.72e+12;*;*;3.70e+03;
184;J1913+1000;19:13:03.5;44.285;-0.194;10.00066667;0.837158;1.67e-14;1.194517;-2.386e-14;*;*;59400.00;422.99;34.200;55.100;0.01;*;0.53;*;*;1;7.93e+05;3.79e+12;*;*;6.05e+01;
185;J1913+1011;19:13:20.3;44.485;-0.167;10.18972489;0.035911;3.38e-15;27.846728;-2.622e-12;-2.615e-23;*;59400.00;178.49;1.600;4.000;0.00;*;0.90;*;*;1;1.68e+05;3.53e+11;*;*;7.14e+04;
186;J1915+1009;19:15:29.9;44.707;-0.651;10.16207476;0.404554;1.53e-14;2.471857;-9.319e-14;1.320e-26;*;59400.00;241.58;4.300;9.500;0.00;23.00;2.00;*;*;1;4.20e+05;2.51e+12;4.20e+05;2.51e+12;3.56e+02;
187;J1915+1150;19:15:16.6;46.170;0.180;11.84316667;0.100041;1.37e-14;9.995906;-1.366e-12;*;*;55927.00;699.83;5.800;*;*;*;0.05;*;*;1;1.16e+05;1.18e+12;*;*;1.11e+04;
188;J1915+1606;19:15:27.9;49.968;2.122;16.10760744;0.059030;8.62e-18;16.940538;-2.473e-15;*;*;52984.00;168.77;6.400;8.000;0.00;4.00;0.90;*;*;1;1.09e+08;2.28e+10;1.09e+08;2.28e+10;1.04e+03;
189;J1919+0021;19:19:50.6;36.506;-6.151;0.36103389;1.272267;7.68e-15;0.785999;-4.742e-15;1.660e-26;*;59400.00;90.20;6.400;35.700;*;16.00;0.80;*;*;1;2.63e+06;3.16e+12;2.63e+06;3.16e+12;1.44e+01;
190;J1921+0812;19:21:47.7;43.710;-2.934;8.21440556;0.210650;5.37e-15;4.747200;-1.211e-13;*;*;59400.00;82.82;1.500;3.300;*;*;0.66;*;*;1;6.21e+05;1.08e+12;*;*;1.08e+03;
191;J1923+4243;19:23:15.2;74.715;12.643;42.72184543;0.595193;2.53e-15;1.680128;-7.150e-15;*;*;56525.00;52.99;12.600;23.500;*;*;*;*;*;1;3.72e+06;1.24e+12;*;*;5.52e+01;
192;J1926+0431;19:26:24.4;40.980;-5.674;4.52542778;1.074080;2.46e-15;0.931029;-2.134e-15;0.000e+00;*;57600.00;102.24;13.400;27.100;0.00;22.00;*;*;*;1;6.91e+06;1.65e+12;*;*;1.25e+01;
193;J1931+1817;19:31:52.7;53.739;-0.303;18.28354722;0.234131;1.07e-13;4.271105;-1.959e-12;*;*;58156.00;465.00;18.000;*;*;*;0.15;*;*;4;3.46e+04;5.07e+12;*;*;3.71e+03;
194;J1932+2220;19:32:22.7;57.356;1.554;22.34763525;0.144470;5.76e-14;6.921864;-2.758e-12;4.390e-23;*;51418.00;218.90;1.600;4.700;0.00;7.80;1.20;*;*;3;3.98e+04;2.92e+12;*;*;9.07e+03;
195;J1937+2544;19:37:01.2;60.836;2.270;25.73706556;0.200980;6.43e-16;4.975614;-1.592e-14;2.300e-28;*;49703.00;53.22;13.500;17.600;*;6.60;1.40;*;*;1;4.95e+06;3.64e+11;4.96e+06;3.64e+11;4.20e+02;
196;J1939+2609;19:39:42.3;61.501;1.951;26.16010833;0.466963;5.20e-18;2.141499;-2.385e-17;*;*;58823.00;47.30;2.600;10.900;*;*;0.15;*;*;1;1.42e+09;4.99e+10;*;*;4.59e+00;
197;J1947+1957;19:47:19.4;56.987;-2.658;19.95233056;0.157509;5.23e-16;6.348862;-2.106e-14;*;*;55190.00;185.80;6.000;10.400;*;*;0.08;*;*;1;4.78e+06;2.90e+11;*;*;6.97e+02;
198;J1952+3252;19:52:58.2;68.765;2.823;32.87791944;0.039531;5.84e-15;25.296479;-3.740e-12;1.462e-23;*;49845.00;45.01;3.700;6.300;0.00;7.00;1.00;*;*;6;1.07e+05;4.86e+11;1.07e+05;4.86e+11;7.38e+04;
199;J1954+2529;19:54:19.7;62.580;-1.229;25.49092778;0.931210;1.26e-15;1.073872;-1.452e-15;*;*;58104.00;182.70;16.000;*;*;*;0.06;*;*;1;1.17e+07;1.10e+12;*;*;1.27e+01;
200;J1955+5059;19:55:18.7;84.793;11.553;50.99869222;0.518938;1.37e-15;1.927013;-5.096e-15;-9.820e-27;*;48741.00;31.98;6.000;13.200;0.00;26.00;4.00;*;*;2;5.99e+06;8.54e+11;*;*;5.73e+01;
201;J1957+2831;19:57:19.3;65.524;-0.225;28.52884511;0.307683;3.11e-15;3.250100;-3.285e-14;-7.300e-26;*;51429.00;138.99;9.000;29.600;*;*;1.00;*;*;5;1.57e+06;9.90e+11;*;*;3.19e+02;
202;J2005-0020;20:05:43.7;41.331;-16.629;-0.33942877;2.279680;2.57e-14;0.438658;-4.938e-15;7.800e-28;*;59400.00;36.09;64.600;95.700;*;8.00;0.70;*;*;1;1.41e+06;7.74e+12;*;*;6.12e+00;
203;J2021+3651;20:21:05.4;75.222;0.111;36.85133333;0.103741;9.57e-14;9.639395;-8.894e-12;1.090e-21;*;54710.00;367.50;9.900;18.000;*;*;0.10;*;*;4;1.72e+04;3.19e+12;*;*;2.68e+04;
204;J2022+3842;20:22:21.6;76.888;0.960;38.70411667;0.048579;8.61e-14;20.585120;-3.648e-11;*;*;55666.24;429.10;*;*;0.06;*;*;0.06;*;1;8.94e+03;2.07e+12;*;*;1.69e+05;
205;J2022+5154;20:22:49.8;87.862;8.380;51.91395361;0.529197;3.06e-15;1.889656;-1.094e-14;-2.270e-26;*;46640.00;22.55;11.900;24.200;0.00;77.00;27.00;*;*;1;2.74e+06;1.29e+12;2.74e+06;1.29e+12;8.15e+01;
206;J2029+3744;20:29:23.8;76.898;-0.727;37.73560148;1.216805;1.23e-14;0.821825;-8.321e-15;-6.340e-26;*;49725.00;190.66;19.900;38.800;0.00;18.00;0.60;*;*;1;1.56e+06;3.92e+12;*;*;2.04e+01;
207;J2029+5459;20:29:16.9;90.981;9.327;54.99265099;0.578909;2.26e-15;1.727387;-6.730e-15;*;*;58220.00;59.75;*;*;*;*;*;*;*;2;4.07e+06;1.16e+12;*;*;5.59e+01;
208;J2032+4127;20:32:13.1;80.224;1.028;41.45675278;0.143246;1.13e-14;6.980975;-5.510e-13;*;*;55700.00;114.67;6.800;12.290;*;*;*;0.12;*;1;2.01e+05;1.29e+12;2.01e+05;1.29e+12;4.11e+03;
209;J2116+1414;21:16:13.7;64.464;-23.409;14.23917778;0.440153;2.89e-16;2.271937;-1.493e-15;-8.500e-27;*;48471.00;56.20;8.600;22.000;0.00;9.00;0.80;*;*;1;2.41e+07;3.61e+11;*;*;3.97e+01;
210;J2202+5040;22:02:24.8;97.650;-3.714;50.67024761;0.745379;4.44e-15;1.341599;-7.992e-15;*;*;58221.00;76.10;*;*;*;*;*;*;*;2;2.66e+06;1.84e+12;*;*;4.17e+01;
211;J2219+4754;22:19:48.1;98.385;-7.598;47.91498056;0.538469;2.77e-15;1.857118;-9.537e-15;-3.180e-27;*;46599.00;43.50;8.200;16.300;0.00;111.00;3.00;*;*;1;3.09e+06;1.23e+12;*;*;7.41e+01;
212;J2225+6535;22:25:52.8;108.638;6.846;65.59343639;0.682542;9.66e-15;1.465110;-2.074e-14;-8.600e-27;*;54420.00;36.44;21.100;33.400;0.00;22.00;2.00;*;*;5;1.12e+06;2.60e+12;1.13e+06;2.59e+12;7.66e+01;
213;J2229+6114;22:29:05.2;106.647;2.949;61.23591667;0.051648;7.74e-14;19.361989;-2.901e-11;*;*;55555.00;205.10;4.000;18.000;*;1.50;0.25;*;*;7;1.06e+04;2.02e+12;*;*;1.38e+05;
214;J2257+5909;22:57:57.7;108.831;-0.575;59.15412063;0.368246;5.75e-15;2.715573;-4.242e-14;-8.100e-26;*;50085.00;151.08;14.800;32.200;*;34.00;9.20;*;*;1;1.01e+06;1.47e+12;1.01e+06;1.47e+12;2.77e+02;
215;J2301+5852;23:01:08.2;109.087;-0.996;58.87901389;6.979071;4.71e-13;0.143286;-9.675e-15;*;*;54852.00;*;*;*;*;*;*;*;*;4;2.35e+05;5.80e+13;2.35e+05;5.80e+13;1.60e+00;
216;J2325+6316;23:25:13.3;113.418;2.013;63.28121167;1.436310;2.83e-15;0.696229;-1.370e-15;6.900e-28;*;48309.00;197.37;131.200;150.000;*;8.00;2.10;*;*;1;8.05e+06;2.04e+12;*;*;6.45e+00;
