PSRJ;Gl;P0;P1;F3;DM;S1400;DIST_DM;NGLT;AGE;BSURF;AGE_I;BSURF_I;B_LC;
;;(度);(s);;(s^-4);(cm^-3pc);(mJy);(kpc);;(Yr);(G);(Yr);(G);(G);
1;J0007+7303;119.660;0.315873;3.60e-13;5.400e-30;*;*;*;1;1.39e+04;1.08e+13;*;*;3.21e+03;
2;J0040-7335;303.956;0.145218;2.39e-14;*;198.27;*;*;1;9.65e+04;1.88e+12;*;*;5.77e+03;
3;J0040-7337;303.968;0.059889;3.40e-14;*;101.79;*;*;1;2.79e+04;1.44e+12;*;*;6.31e+04;
4;J0048-7317;303.180;0.079314;3.30e-14;*;292.42;*;*;1;3.81e+04;1.64e+12;*;*;3.08e+04;
5;J0146+6145;129.384;8.688994;1.99e-12;*;*;*;*;3;6.91e+04;1.33e+14;6.91e+04;1.33e+14;1.90e+00;
6;J0147+5922;130.059;0.196321;2.57e-16;*;40.11;2.10;*;1;1.21e+07;2.27e+11;1.21e+07;2.27e+11;2.81e+02;
7;J0157+6212;130.586;2.351745;1.89e-13;*;30.21;1.90;*;3;1.97e+05;2.13e+13;1.97e+05;2.13e+13;1.54e+01;
8;J0205+6449;130.719;0.065716;1.94e-13;*;140.70;0.04;*;9;5.37e+03;3.61e+12;5.37e+03;3.61e+12;1.19e+05;
9;J0212+5222;135.331;0.376386;6.60e-15;*;38.21;0.90;*;2;9.04e+05;1.59e+12;*;*;2.80e+02;
10;J0215+6218;132.575;0.548880;6.62e-16;*;84.00;3.70;*;1;1.31e+07;6.10e+11;*;*;3.46e+01;
11;J0358+5413;148.190;0.156384;4.39e-15;*;57.14;23.00;*;7;5.64e+05;8.39e+11;5.64e+05;8.39e+11;2.06e+03;
12;J0406+6138;144.025;0.594576;5.57e-15;*;65.41;2.80;*;1;1.69e+06;1.84e+12;1.69e+06;1.84e+12;8.22e+01;
13;J0415+6954;138.911;0.390715;7.66e-17;*;27.45;0.50;*;1;8.08e+07;1.75e+11;*;*;2.75e+01;
14;J0417+35;163.219;0.654400;*;*;48.53;*;*;1;*;*;*;*;*;
15;J0502+4654;160.363;0.638565;5.58e-15;*;41.83;2.50;*;1;1.81e+06;1.91e+12;1.81e+06;1.91e+12;6.88e+01;
16;J0525+1115;192.695;0.354438;7.36e-17;*;79.41;1.94;*;1;7.63e+07;1.63e+11;*;*;3.44e+01;
17;J0528+2200;183.856;3.745539;4.01e-14;*;50.87;8.90;*;4;1.48e+06;1.24e+13;*;*;2.21e+00;
18;J0534+2200;184.557;0.033392;4.21e-13;-2.730e-30;56.77;14.00;*;40;1.26e+03;3.79e+12;1.26e+03;3.79e+12;9.55e+05;
